name,width,height,result
371301511.png,397,477,0
350037361.png,203,278,1
340021062.png,259,346,1
370807031.png,733,961,1
350028152.png,203,278,1
350015162.png,529,743,1
370511141.png,327,455,1
340006221.png,413,531,1
370801331.png,392,521,1
371402241.png,323,460,1
360007062.png,268,363,0
360012762.png,406,527,1
350032103.png,203,278,1
360023111.png,458,552,1
370501021.png,661,787,1
330004102.png,452,561,0
320005401.png,482,687,1
330012242.png,429,531,0
370729011.png,391,489,0
350034292.png,492,654,0
350037261.png,203,278,1
370702031.png,388,489,1
350035161.png,521,648,1
340021111.png,259,346,1
320006141.png,365,531,1
340002022.png,407,513,1
340024132.png,591,709,1
370609223.png,251,304,0
310010032.png,331,449,1
340026191.png,432,554,1
320011221.png,236,330,1
340008182.png,482,634,0
330002182.png,406,577,0
320010281.png,234,317,1
371302012.png,469,564,0
370706151.png,337,423,1
370810131.png,500,700,0
371202161.png,432,503,1
340022031.png,259,346,0
370503251.png,247,328,1
370312071.png,441,551,1
370517011.png,408,545,1
330012161.png,421,522,1
330010201.png,340,423,1
310007121.png,377,502,1
370301713.png,454,657,1
350037101.png,203,278,0
370808202.png,396,640,0
370701071.png,381,439,1
350029092.png,203,277,1
370709052.png,392,443,0
370901443.png,410,530,0
340010181.png,301,392,0
370604213.png,400,556,0
370314102.png,275,314,1
370607162.png,232,281,1
360013092.png,476,609,0
310003342.png,353,470,0
320006371.png,363,528,1
370610171.png,248,289,0
330002132.png,402,567,0
320004182.png,500,646,0
330012223.png,428,532,0
350015023.png,574,705,1
370515042.png,302,401,0
370301441.png,472,677,0
360024131.png,505,606,1
370609071.png,237,286,0
320006171.png,298,434,1
320002502.png,341,469,0
350003071.png,730,944,1
371001371.png,356,391,1
320009192.png,351,528,0
370706041.png,363,457,0
370306101.png,441,551,1
370730042.png,277,417,1
370103172.png,283,377,1
371207193.png,392,447,0
370803191.png,478,591,0
370411152.png,200,300,0
371401071.png,323,445,0
370616071.png,261,316,0
350035061.png,522,697,1
350007132.png,203,277,0
320010122.png,234,296,1
340007122.png,413,531,1
370301182.png,455,653,0
371006091.png,89,93,1
370402192.png,403,531,1
340006211.png,413,531,1
350012161.png,531,691,1
371207151.png,426,486,0
370509102.png,398,531,1
350012102.png,517,699,1
350002212.png,207,268,1
370615031.png,232,306,1
340021042.png,259,346,0
370301191.png,470,673,1
320001481.png,93,118,0
370401153.png,413,551,1
320004062.png,491,659,0
340028272.png,390,491,1
370601021.png,248,338,1
371205241.png,395,451,1
360017131.png,248,328,1
350032102.png,203,277,0
370322092.png,441,551,0
310004091.png,233,313,0
370713221.png,357,449,0
310004041.png,476,617,1
360002191.png,397,521,1
330010124.png,392,522,1
320001363.png,93,123,0
371401362.png,321,459,1
330010092.png,360,513,1
350018141.png,203,277,1
360006061.png,268,363,1
371016023.png,660,793,0
310012218.png,411,547,0
370506201.png,391,521,1
320004141.png,477,629,0
370706161.png,363,460,1
370413162.png,413,551,1
360030032.png,418,557,0
370612252.png,559,687,0
360002062.png,547,714,1
340018011.png,464,594,1
350033132.png,203,277,0
320009112.png,270,406,1
370309041.png,441,551,1
370314101.png,275,314,0
320020042.png,436,623,1
350006111.png,255,337,1
370811021.png,735,975,0
370616022.png,268,323,0
360013041.png,476,610,1
340015021.png,599,793,0
370323252.png,346,494,0
340024081.png,591,709,1
320008202.png,396,540,1
370407012.png,70,97,0
320006601.png,359,476,0
330010242.png,367,503,1
360011081.png,268,363,0
350034152.png,525,697,1
360005451.png,743,1005,0
360004141.png,508,704,0
340015023.png,581,736,0
360012252.png,432,551,1
370504071.png,509,689,1
370732071.png,200,260,0
340006081.png,413,531,0
370301141.png,463,663,1
330008381.png,446,555,0
350035031.png,507,669,0
320001832.png,99,123,0
350026061.png,160,226,1
371203131.png,441,501,0
320006221.png,317,463,0
370709102.png,373,421,1
360021061.png,369,417,1
370904032.png,287,369,1
340020022.png,329,541,1
371001421.png,356,391,0
360010011.png,384,491,1
340018071.png,442,590,1
320001361.png,87,119,0
370717071.png,268,347,0
370718041.png,360,483,1
320027011.png,236,298,1
370302222.png,441,551,1
370702202.png,360,453,0
370501342.png,661,787,0
340025092.png,373,471,1
370510051.png,461,650,1
320010092.png,234,320,1
3200011091.png,91,124,0
360012332.png,421,537,1
370911074.png,329,401,0
370705171.png,373,443,1
360005143.png,725,990,0
370503241.png,255,341,0
320007342.png,237,320,0
370501282.png,661,787,1
370702131.png,355,447,0
320004091.png,456,605,1
370517162.png,403,567,0
310012213.png,419,517,0
340010061.png,357,464,1
370607201.png,225,273,1
370509011.png,395,552,1
340027081.png,591,709,1
370615022.png,232,303,1
370604141.png,250,317,1
370901331.png,404,450,1
360005731.png,504,710,1
370517022.png,492,651,0
350007152.png,203,277,1
370402171.png,408,528,1
360031082.png,508,696,1
360015181.png,277,371,1
360005502.png,508,696,0
320014092.png,236,330,0
370712102.png,271,385,1
320003072.png,427,593,0
350001132.png,531,724,0
310011071.png,339,457,1
370710082.png,356,403,1
370312041.png,441,551,0
370502142.png,316,395,0
370301252.png,466,669,0
340010182.png,296,396,0
370316011.png,441,551,0
370618072.png,282,351,1
360031122.png,508,674,0
340021101.png,259,346,1
370716082.png,199,284,1
350016022.png,277,363,1
370605092.png,534,655,0
350037241.png,203,278,1
380101081.png,390,565,1
371005032.png,115,109,1
350034141.png,531,670,1
370703211.png,391,441,0
370713161.png,375,473,1
370324112.png,441,551,0
310011221.png,339,458,1
320011251.png,236,330,1
360004361.png,508,701,1
320001261.png,95,119,0
370310292.png,390,543,1
320002041.png,371,507,1
370401244.png,413,551,0
370801011.png,409,548,0
350036062.png,536,693,1
370410042.png,496,636,1
360008132.png,268,363,1
320001542.png,95,120,0
350031251.png,386,497,1
340028202.png,408,519,0
370705051.png,351,417,0
350028021.png,203,277,1
330004121.png,434,540,0
370901091.png,362,461,1
360008362.png,268,363,1
350026041.png,160,234,1
360023091.png,558,751,1
370324081.png,441,551,1
370710031.png,355,401,1
350017061.png,277,358,1
360018061.png,496,647,0
320006392.png,367,534,1
370903061.png,415,461,1
340006101.png,413,531,1
370723011.png,400,501,1
371201231.png,260,302,1
330011103.png,474,589,0
330001591.png,261,319,1
350037332.png,203,277,0
330009201.png,384,478,0
320010172.png,234,316,0
350023103.png,160,228,0
340006132.png,413,531,0
360012052.png,501,689,0
340006091.png,413,531,1
370806102.png,810,944,0
370105042.png,460,610,1
310004382.png,357,472,1
360035071.png,329,466,0
330002541.png,387,547,1
320012071.png,410,415,0
370702101.png,362,455,1
350036011.png,505,663,1
340008081.png,482,634,1
370605072.png,507,622,1
370406091.png,107,135,0
360003393.png,76,108,0
320005701.png,508,687,1
370703162.png,378,427,0
330002611.png,394,555,1
310010262.png,331,449,0
340027151.png,591,709,1
320009102.png,346,522,0
370301521.png,481,696,0
320014331.png,236,330,1
310008291.png,331,449,0
320001211.png,89,114,1
350002051.png,207,268,1
320001182.png,98,119,1
370506131.png,244,335,1
320008142.png,375,579,0
360003341.png,83,103,1
330002381.png,396,575,1
360005342.png,508,704,0
320025011.png,111,133,0
370503182.png,248,327,1
370812011.png,677,891,1
320005311.png,318,430,0
370601151.png,249,325,1
370505092.png,314,386,1
370307142.png,441,551,1
370401162.png,413,551,1
340018062.png,452,563,1
370301181.png,465,666,1
320016142.png,236,317,1
370504201.png,245,346,0
350035302.png,520,710,1
370411153.png,200,300,0
371201181.png,260,302,0
320016152.png,236,317,1
320011012.png,236,330,1
360004183.png,540,680,0
370501172.png,661,787,0
370701041.png,396,457,1
370301541.png,461,662,1
360003162.png,90,109,0
330010371.png,369,525,1
320003761.png,427,593,1
310006191.png,375,500,1
320025022.png,108,137,1
340014121.png,589,777,1
371008033.png,691,913,0
371005062.png,113,106,0
330008321.png,477,591,0
320002612.png,377,519,0
350023061.png,160,240,1
360022072.png,419,584,0
320017092.png,118,151,0
310003281.png,409,541,1
370304012.png,441,551,0
360008522.png,268,363,1
370103121.png,283,377,1
370811071.png,734,988,1
360005721.png,508,694,1
370509041.png,401,541,0
350017011.png,281,357,1
320006482.png,309,450,1
370504061.png,338,474,1
360035051.png,329,465,1
340008293.png,482,634,0
3200021192.png,327,452,1
330010042.png,366,532,1
320025101.png,100,125,1
350027042.png,203,278,0
370201041.png,412,572,1
310006011.png,349,466,0
370517032.png,507,667,0
360009113.png,268,363,0
310001191.png,479,636,0
330004211.png,404,501,0
370801132.png,415,524,0
370913062.png,334,448,0
320004211.png,479,633,1
360003371.png,82,115,1
370407092.png,69,84,0
370701212.png,405,468,0
370101082.png,354,453,0
370606122.png,244,289,0
360004102.png,523,689,0
330001171.png,261,319,1
370901221.png,425,534,1
370103153.png,283,377,0
370801101.png,398,539,1
310004282.png,370,472,0
370110092.png,291,378,1
3200011192.png,96,121,0
350028151.png,203,278,0
370316012.png,441,551,1
370316062.png,441,551,0
360014061.png,508,658,1
320009042.png,362,544,1
340008101.png,482,634,0
360003074.png,83,105,1
370504051.png,509,730,1
350027033.png,203,278,1
330001292.png,261,319,0
360008131.png,268,363,0
340024121.png,591,709,1
320013101.png,354,496,1
310004344.png,356,472,1
340018102.png,453,566,1
360012142.png,475,652,0
370306181.png,441,551,0
360030132.png,403,537,0
371014031.png,380,480,1
320002441.png,341,466,1
370301072.png,454,670,0
350033051.png,203,277,1
371303031.png,457,558,1
370301051.png,466,670,1
350033362.png,203,277,1
370325083.png,441,551,0
370906134.png,243,324,0
370810121.png,500,700,0
360035131.png,330,467,1
360012571.png,488,671,1
370306111.png,441,551,1
350010112.png,207,268,0
370901212.png,386,480,1
310002031.png,440,550,1
370701021.png,396,457,1
370308123.png,441,551,0
371001101.png,357,392,0
320006263.png,360,524,0
360012193.png,500,688,1
320005081.png,306,414,1
350037052.png,203,277,1
340012201.png,531,709,1
320004041.png,487,637,1
370808091.png,394,663,1
330011032.png,499,621,1
340009322.png,236,330,1
350012131.png,535,710,0
370725011.png,252,315,1
371001011.png,357,391,0
360024022.png,483,580,0
371007052.png,350,450,0
371303032.png,413,493,0
340026081.png,223,272,1
350032032.png,203,278,1
370801031.png,411,520,1
370730052.png,286,386,1
320026012.png,214,273,1
371402411.png,328,450,1
371205031.png,391,446,1
350007191.png,203,277,1
370313041.png,441,551,1
360010061.png,425,545,0
330002221.png,402,570,0
350035411.png,505,688,0
320001173.png,89,118,1
360037051.png,381,461,0
360028051.png,435,577,0
340005082.png,542,720,1
370912052.png,112,141,0
360005621.png,508,675,1
310011151.png,339,458,0
370101131.png,354,477,1
370906024.png,205,287,0
370609021.png,236,285,1
371012012.png,350,350,0
370509091.png,400,547,1
370301401.png,450,646,1
340005163.png,199,278,0
370507153.png,579,768,0
360009511.png,268,363,1
370301391.png,455,654,1
370722021.png,298,391,1
371301251.png,435,522,0
370311071.png,441,551,1
360005841.png,508,697,1
330008452.png,418,520,0
340028102.png,420,533,0
330002442.png,387,547,1
371302332.png,469,564,1
370314211.png,275,314,0
370812051.png,704,834,1
320014272.png,236,330,0
350013091.png,234,314,1
371012031.png,350,339,1
320002121.png,355,491,1
370103041.png,283,377,0
370807051.png,715,826,1
340023072.png,439,575,0
350002072.png,207,268,0
340026141.png,219,284,0
320011461.png,236,330,1
330002491.png,391,553,1
320015092.png,237,300,0
320006291.png,387,533,1
320005471.png,322,375,0
371206243.png,260,302,0
310002131.png,441,551,1
330010283.png,370,531,0
370303292.png,441,551,0
310010361.png,331,449,1
340011282.png,565,751,0
320011452.png,236,330,1
340006342.png,413,531,1
350022061.png,203,277,1
371401131.png,324,441,1
370701282.png,387,446,1
350028081.png,203,277,1
350031292.png,400,506,0
330002811.png,402,570,1
310003511.png,396,528,0
360003211.png,81,102,1
360024101.png,505,606,1
360031121.png,524,683,1
370708051.png,311,351,0
340002141.png,415,527,0
370503171.png,247,327,1
320007061.png,237,319,1
370312142.png,441,551,0
370804111.png,689,1003,0
370910091.png,393,493,0
320013461.png,354,496,0
370301473.png,461,671,0
370406211.png,99,134,1
310005211.png,328,437,0
370402313.png,401,524,0
371303201.png,451,543,1
320005322.png,508,687,0
320014302.png,236,330,0
350003142.png,763,1016,0
310002141.png,441,550,1
370615051.png,233,307,1
370711061.png,362,411,1
371301192.png,434,522,0
360031191.png,508,702,0
340001051.png,482,634,1
370309082.png,441,551,1
320001231.png,92,122,1
370710081.png,350,396,0
320003231.png,427,593,1
320001101.png,97,124,0
370310122.png,390,543,0
370301303.png,450,645,1
330012061.png,379,471,0
370607211.png,246,297,1
370701411.png,386,446,1
360008461.png,268,363,0
320001152.png,93,117,1
370717081.png,417,532,1
310004343.png,297,400,0
340009031.png,236,330,1
380103082.png,390,578,1
320006242.png,325,472,1
370810083.png,500,600,1
340019122.png,314,496,0
310003312.png,364,485,0
370705272.png,412,491,1
310008091.png,331,449,0
360005081.png,696,902,1
340009212.png,236,330,0
370808032.png,402,637,0
320009091.png,362,539,1
370322101.png,441,551,1
330004162.png,476,591,1
330002571.png,402,562,1
350032082.png,203,277,1
370511011.png,329,460,1
320002722.png,367,507,1
360028042.png,433,588,0
370218013.png,456,709,1
340007032.png,413,531,0
350014122.png,532,686,1
370703131.png,408,461,1
371301421.png,491,592,1
350012152.png,523,683,0
350032423.png,203,278,0
320002311.png,371,508,1
370601041.png,249,322,1
370501013.png,661,787,0
340010041.png,294,398,0
310009061.png,354,472,1
310010202.png,331,449,0
320007193.png,237,319,0
370412132.png,374,476,0
320013401.png,354,496,1
350011011.png,279,389,0
320011011.png,236,330,0
360006251.png,268,363,0
350037111.png,203,278,0
370701482.png,367,423,0
320007332.png,236,319,1
370710043.png,321,363,0
350035041.png,528,694,0
370320011.png,441,551,1
370505131.png,297,389,0
340002091.png,403,508,0
350033201.png,203,277,1
320001171.png,92,121,0
370307091.png,441,551,1
370311022.png,441,551,1
360031192.png,496,669,0
370320082.png,441,551,0
350023041.png,160,234,1
371206251.png,260,302,0
360012532.png,413,513,0
370705262.png,348,414,0
350013042.png,237,314,1
370301451.png,459,657,0
360006144.png,268,363,0
360017021.png,248,328,0
370714121.png,268,326,1
350031071.png,428,551,1
370608071.png,290,347,1
370323091.png,95,142,1
350021032.png,751,951,0
350015171.png,529,687,1
360002251.png,415,536,1
370502152.png,300,395,1
320010182.png,234,288,1
370615012.png,233,305,0
320014381.png,236,330,1
360005291.png,508,718,0
370111031.png,354,473,0
360009491.png,268,363,0
370317161.png,441,551,0
370811101.png,660,900,1
350012022.png,515,686,0
380102051.png,390,555,0
350006051.png,265,337,0
370613021.png,256,292,1
370110011.png,284,378,1
340006191.png,413,531,1
340021102.png,259,346,0
340007022.png,413,531,0
350016041.png,537,707,0
310003121.png,411,546,0
330008092.png,415,516,1
360012282.png,420,504,1
320001131.png,91,123,1
320004301.png,500,661,0
360009021.png,268,363,1
370722081.png,299,391,1
370727041.png,379,477,1
370512122.png,306,446,1
370903052.png,385,461,0
350005111.png,496,572,1
370406192.png,103,131,1
320007121.png,236,318,0
340004112.png,384,484,1
330010232.png,374,534,1
370703231.png,371,419,1
370311111.png,441,551,1
340019062.png,332,543,0
371012011.png,350,350,0
371012062.png,350,350,1
370607221.png,246,298,1
370301342.png,467,669,0
360014181.png,508,664,1
370727051.png,403,507,0
3200021011.png,353,482,1
370732012.png,204,265,0
370701011.png,404,468,1
370513062.png,252,346,1
340011082.png,130,172,0
350012213.png,540,695,0
370325021.png,441,551,1
320026071.png,214,273,1
370612143.png,547,667,0
370701461.png,370,426,0
370909062.png,369,420,0
370312122.png,441,551,0
370411041.png,212,278,1
340018051.png,461,595,0
340021021.png,259,346,1
370105144.png,395,524,1
380201011.png,358,476,1
340008253.png,482,634,1
350002251.png,207,268,1
370306061.png,441,551,1
320011401.png,236,330,0
340022024.png,259,346,0
371001102.png,357,391,1
350005142.png,440,499,0
350012082.png,540,699,0
350020012.png,207,268,1
360024142.png,505,606,1
370810051.png,500,600,1
320002592.png,341,466,1
310004215.png,369,497,0
330002661.png,394,556,0
3200011082.png,93,120,0
310004112.png,378,472,0
370510061.png,461,650,0
370313141.png,441,551,0
340020062.png,337,552,1
370725044.png,226,312,0
350007101.png,203,277,1
370310191.png,390,543,1
370320141.png,441,551,0
360011302.png,268,363,1
330010162.png,395,552,0
370317191.png,441,551,1
340006182.png,413,531,1
370705112.png,421,502,1
320017161.png,115,153,1
350007022.png,203,277,0
360019291.png,757,1021,0
330002361.png,399,564,0
360031112.png,500,670,0
350028172.png,203,278,1
320011031.png,236,330,0
320004221.png,489,647,1
320012321.png,413,418,1
370809121.png,803,924,0
371006061.png,78,93,1
370702182.png,388,490,1
310004092.png,304,472,1
320021122.png,236,303,1
370614032.png,247,307,0
370615142.png,234,308,0
370103033.png,283,377,0
371204172.png,260,302,1
370404072.png,70,92,0
370401132.png,413,551,1
350011012.png,277,388,1
371205082.png,415,472,0
340019132.png,325,534,1
370321091.png,91,114,0
320028042.png,236,303,1
320006421.png,308,448,1
350003211.png,738,953,0
371201132.png,259,302,1
350031213.png,390,497,0
320004052.png,490,635,1
330002582.png,416,580,1
370406162.png,111,144,0
370803091.png,479,588,1
360005552.png,508,705,1
360012221.png,513,707,0
330009091.png,456,562,0
370303055.png,441,551,0
320028103.png,236,324,0
370603102.png,499,611,0
320006011.png,315,430,1
340026152.png,221,277,1
370903091.png,414,461,0
350021121.png,785,988,1
370303291.png,441,551,1
320011433.png,236,330,0
360024061.png,505,606,0
370913043.png,339,458,0
310001162.png,418,554,1
370609051.png,252,305,1
371207191.png,402,459,0
350035152.png,516,677,1
350025081.png,160,254,1
350034241.png,537,716,0
340011081.png,127,168,1
370803232.png,529,658,1
371008013.png,739,970,0
370320192.png,441,551,0
310007033.png,385,513,0
370901372.png,431,398,1
360005772.png,535,695,0
371303132.png,508,611,0
371004132.png,391,484,1
340007231.png,413,531,1
330008401.png,427,531,1
371206082.png,260,302,0
370408022.png,358,422,1
371001043.png,357,391,0
371401112.png,337,453,0
350033352.png,203,277,0
370613081.png,261,315,1
370702172.png,395,497,1
320010312.png,234,329,0
350012132.png,540,713,1
370504112.png,509,674,0
310009091.png,354,472,1
330009262.png,371,460,0
371204112.png,260,302,0
350001181.png,531,714,1
320014231.png,236,330,1
370911011.png,379,414,0
370412052.png,376,486,0
370719091.png,486,389,1
370511161.png,342,448,1
340008212.png,482,634,0
370906092.png,216,298,0
360011303.png,268,363,0
360012051.png,481,662,0
350005212.png,488,561,0
320001421.png,85,119,1
370513132.png,252,346,1
330008122.png,360,447,0
310002011.png,432,540,1
370713032.png,392,494,1
340009141.png,236,330,1
350031371.png,427,537,1
310009132.png,354,472,0
320021081.png,236,317,0
330004252.png,387,480,1
370201182.png,410,549,0
370605251.png,471,567,0
360014112.png,515,669,1
370717093.png,402,521,0
3200011242.png,95,119,0
320007081.png,237,320,1
370714152.png,249,324,1
320011472.png,236,330,0
320002391.png,365,503,1
330008422.png,450,559,0
370320201.png,441,551,1
320003581.png,427,593,1
370703011.png,353,398,0
371013042.png,350,450,0
370616012.png,269,324,1
330008212.png,463,575,0
340009122.png,236,330,0
310012031.png,400,550,0
370303242.png,441,551,1
360023041.png,431,572,1
360002301.png,417,540,1
370309121.png,441,551,1
320011431.png,236,330,0
310011312.png,347,467,1
320012241.png,415,420,1
370606141.png,227,276,0
360005472.png,526,650,0
320009282.png,356,529,1
370517012.png,311,424,0
370808011.png,528,663,1
350031051.png,416,536,1
360002011.png,411,533,1
340011192.png,551,739,1
320003451.png,427,593,0
320008031.png,408,594,1
370810082.png,500,600,0
370905162.png,284,309,0
370802061.png,473,572,0
320005162.png,315,370,1
360005161.png,508,671,0
3100122110.png,413,548,0
340019031.png,315,516,1
310012212.png,412,547,1
350027131.png,203,277,1
370701551.png,380,437,0
340008131.png,482,634,1
330002823.png,368,519,0
370511103.png,332,452,0
370413104.png,413,551,0
320003132.png,427,592,1
3200011071.png,99,119,1
3200011111.png,96,120,1
340007241.png,413,531,1
370601132.png,250,333,0
320010181.png,234,310,0
370503092.png,251,338,1
370506151.png,390,496,1
370901423.png,379,473,1
371001162.png,357,390,1
371012016.png,350,350,0
320028072.png,236,303,1
370412121.png,408,540,0
340026172.png,203,259,0
320003141.png,427,593,1
370612032.png,512,627,0
370313092.png,441,551,0
370705241.png,376,448,1
360015072.png,272,369,0
350027161.png,203,277,1
340026021.png,223,271,0
370326101.png,91,114,1
370303211.png,441,551,0
310008211.png,331,449,1
370810032.png,500,700,1
370309111.png,441,551,1
370807071.png,739,980,1
310007321.png,345,460,0
320006403.png,342,493,0
370407062.png,70,96,0
320016032.png,236,317,0
370309091.png,441,551,1
370905041.png,282,311,1
350029162.png,203,277,1
320004571.png,495,640,1
310008301.png,331,449,0
330004322.png,494,621,0
360014032.png,508,703,1
360011082.png,268,363,1
360001062.png,268,363,0
370512112.png,310,438,1
310009021.png,354,472,1
360012211.png,538,741,1
370103083.png,283,377,1
371401341.png,365,459,1
320007311.png,237,319,1
310006155.png,364,484,1
370101292.png,354,460,0
370612233.png,540,664,0
340015181.png,583,796,1
320002992.png,367,506,1
360004281.png,508,703,1
370605271.png,522,640,1
360015071.png,278,370,1
340026131.png,228,288,1
320005052.png,298,358,0
370306182.png,441,551,0
370317131.png,441,551,1
350032132.png,203,277,0
320001181.png,93,121,0
350020052.png,207,268,0
340029021.png,261,301,1
370101173.png,354,486,0
370705091.png,385,458,1
350016072.png,258,322,0
310004273.png,335,451,0
320004623.png,486,639,0
371301281.png,391,469,0
350029151.png,203,278,0
310004217.png,300,410,0
320024102.png,417,486,1
370405031.png,307,389,1
360028053.png,435,578,0
3200011244.png,93,117,0
360010051.png,454,582,1
340020041.png,349,566,0
370717051.png,269,347,1
320003201.png,427,593,1
370612192.png,548,666,1
370401211.png,413,551,1
330011222.png,500,621,1
370907142.png,284,385,1
320005481.png,492,687,0
371202162.png,399,454,0
370614042.png,247,307,0
370905012.png,274,312,1
360009182.png,268,363,0
320007242.png,236,320,0
370105163.png,396,524,0
370613071.png,258,311,1
370801171.png,423,531,0
360015091.png,276,332,1
370612241.png,526,636,0
370714112.png,261,320,1
370101121.png,354,482,0
360006252.png,268,363,1
320020041.png,454,606,0
371001412.png,355,392,1
370710021.png,336,380,1
310006013.png,357,474,0
370907101.png,284,383,1
310005062.png,358,476,1
310002161.png,438,550,0
370507131.png,579,768,1
370409113.png,220,286,0
360007031.png,268,363,1
350027041.png,203,277,1
371206242.png,260,302,0
340005323.png,539,735,0
320002102.png,351,479,0
350007011.png,203,278,1
370804101.png,689,985,0
340011041.png,127,168,1
310011193.png,339,457,0
370503032.png,259,324,1
360030093.png,404,573,0
360004091.png,714,927,0
330001751.png,261,310,0
370101182.png,354,502,0
360008151.png,268,363,1
360025051.png,268,359,1
370701022.png,344,396,0
370605151.png,448,535,0
360012491.png,517,712,0
310004212.png,339,449,0
310012054.png,396,522,1
370310101.png,390,543,1
310010092.png,331,449,0
320002913.png,335,462,1
320005381.png,460,687,0
360020051.png,516,676,1
360025022.png,268,363,1
370311191.png,441,551,0
350013121.png,233,332,1
370317231.png,441,551,0
370315022.png,441,551,1
370502133.png,316,395,1
320014101.png,236,330,0
370111062.png,354,455,0
320012281.png,360,364,1
310010153.png,331,449,1
370611031.png,248,300,0
370101202.png,354,485,0
340006253.png,413,531,1
370910112.png,413,488,0
371402252.png,318,432,0
310004321.png,287,388,1
330001403.png,260,319,1
370321131.png,91,114,0
371301132.png,457,548,0
370506231.png,391,521,1
370714151.png,261,320,0
320013111.png,354,496,1
370902012.png,284,362,1
371007021.png,350,450,1
370602031.png,265,317,0
310001282.png,464,616,0
370301471.png,488,720,1
350006023.png,244,332,0
380104022.png,390,555,1
370301472.png,470,680,0
350024031.png,160,234,0
340004102.png,411,518,0
370904051.png,345,392,0
340011251.png,603,809,1
330002674.png,393,557,0
370509062.png,393,514,1
340011182.png,655,848,1
380204021.png,358,476,1
330002722.png,398,565,0
330001162.png,261,319,1
350031382.png,418,529,1
370507023.png,579,768,0
330002283.png,386,544,0
370401191.png,413,551,1
310001252.png,490,651,1
370801152.png,402,488,0
360005491.png,508,676,1
370701211.png,381,440,1
370610042.png,257,309,0
370315091.png,441,551,0
360008191.png,268,363,1
370401102.png,413,551,0
370314081.png,551,630,1
320004131.png,504,645,1
350027011.png,203,277,1
340010172.png,286,404,0
340022061.png,259,346,1
370323231.png,346,494,0
320008073.png,396,612,1
370308011.png,441,551,1
320011101.png,236,330,1
330009211.png,385,478,0
370307051.png,441,551,1
340009233.png,236,330,1
370402314.png,400,525,1
371205133.png,391,446,0
360026052.png,464,547,0
370608021.png,276,328,1
370101052.png,354,480,1
320001991.png,97,121,1
350017122.png,513,705,1
370105102.png,425,563,1
350018032.png,203,277,0
370706133.png,418,525,0
371015032.png,355,407,1
370503262.png,239,318,1
370701101.png,395,455,1
370702012.png,414,523,1
370103142.png,283,377,1
360030061.png,420,549,0
330001132.png,261,319,1
330001753.png,261,308,0
310007312.png,355,474,1
370903142.png,411,456,0
370502172.png,316,395,0
370901222.png,403,537,0
370303201.png,441,551,1
320006432.png,344,500,1
340025141.png,347,473,1
360026092.png,467,559,1
360012382.png,501,688,0
340010161.png,352,468,1
370714023.png,254,319,1
310003134.png,357,474,1
330002321.png,387,544,1
370603122.png,504,615,0
330012162.png,463,574,0
370718021.png,360,483,0
360006022.png,268,363,1
330011213.png,453,563,1
350029122.png,203,277,0
3200021035.png,342,473,0
310003042.png,397,520,0
350033341.png,203,278,0
320008182.png,375,582,1
350015111.png,525,711,0
370402161.png,378,485,0
