name,result
310006013.png,0
310005062.png,1
310002161.png,0
370409113.png,0
350027041.png,1
371206242.png,0
340005323.png,0
320002102.png,0
350007011.png,1
370804101.png,0
310011193.png,0
370503032.png,1
360030093.png,0
360004091.png,0
330001751.png,0
370520151.png,1
370101182.png,0
360008151.png,1
370701022.png,0
370605151.png,0
360012491.png,0
310004212.png,0
310012054.png,1
370310101.png,1
310010092.png,0
320002913.png,1
320005381.png,0
360025022.png,1
370311191.png,0
370317231.png,0
370315022.png,1
370502133.png,1
320014101.png,0
350008082.png,1
370111062.png,0
310010153.png,1
370611031.png,0
370101202.png,0
340006253.png,1
370910112.png,0
371402252.png,0
330001403.png,1
370321131.png,0
371301132.png,0
370506231.png,1
370714151.png,0
370902012.png,1
370602031.png,0
310001282.png,0
370301471.png,1
350006023.png,0
371101282.png,0
380104022.png,1
370301472.png,0
350024031.png,0
340004102.png,0
370904051.png,0
330002674.png,0
370509062.png,1
340011182.png,1
380204021.png,1
330002722.png,0
330001162.png,1
350031382.png,1
370507023.png,0
330002283.png,0
370401191.png,1
310001252.png,1
370801152.png,0
370701211.png,1
370610042.png,0
370315091.png,0
370401102.png,0
370314081.png,1
340010172.png,0
370323231.png,0
320008073.png,1
370308011.png,1
330009211.png,0
370307051.png,1
340009233.png,1
370402314.png,1
371205133.png,0
360026052.png,0
370608021.png,1
370101052.png,1
350017122.png,1
370105102.png,1
350018032.png,0
370706133.png,0
371015032.png,1
370503262.png,1
370701101.png,1
370702012.png,1
370103142.png,1
360030061.png,0
330001132.png,1
330001753.png,0
310007312.png,1
370903142.png,0
370502172.png,0
370901222.png,0
370303201.png,1
320006432.png,1
360026092.png,1
371102041.png,1
360012382.png,0
340010161.png,1
370714023.png,1
310003134.png,1
330002321.png,1
370603122.png,0
330012162.png,0
370718021.png,0
360006022.png,1
330011213.png,1
350029122.png,0
3200021035.png,0
310003042.png,0
360005053.png,1
350033341.png,0
320008182.png,1
350015111.png,0
370402161.png,0
371015012.png,1
370713151.png,0
370322022.png,1
320005563.png,0
350035352.png,1
350037282.png,0
371301111.png,0
340007034.png,1
320006322.png,0
370303032.png,1
330002801.png,1
350031353.png,0
330009181.png,0
370503152.png,0
340008211.png,0
320019112.png,0
370509061.png,0
340002023.png,0
320009241.png,1
310006091.png,1
370701752.png,0
320011112.png,1
360011332.png,0
330011151.png,0
370803142.png,1
370403222.png,1
360005391.png,1
340002103.png,0
371015062.png,0
320015141.png,0
371002033.png,1
370704132.png,0
350001081.png,1
370101092.png,0
350032453.png,0
330012072.png,0
370407021.png,1
370604031.png,0
350009101.png,1
370610061.png,0
370701613.png,0
370708102.png,1
320001541.png,1
360002151.png,0
370313142.png,1
370201152.png,1
370406142.png,1
360012053.png,1
370513131.png,0
370714052.png,0
370607051.png,1
370910021.png,0
320001103.png,1
310010141.png,1
320001831.png,1
320026101.png,0
370611012.png,1
360001011.png,0
320010052.png,0
320027132.png,1
370701612.png,1
370602092.png,0
370714113.png,0
370601072.png,1
370507141.png,0
350032242.png,0
360009331.png,1
371103092.png,0
370403121.png,0
370601131.png,1
370617012.png,0
330001192.png,0
360016031.png,1
360019073.png,0
360011023.png,0
320009082.png,1
360005471.png,1
320025063.png,0
340002171.png,0
340003022.png,0
370721071.png,1
360005052.png,0
370717022.png,1
340008202.png,0
370404073.png,0
320021011.png,1
370315021.png,0
370704022.png,1
370301332.png,0
371402291.png,1
360001052.png,0
370101101.png,1
370502062.png,0
370409132.png,0
371206161.png,0
330001701.png,0
370714142.png,0
310004252.png,0
340012181.png,1
310005312.png,0
350025062.png,0
360021112.png,1
320021121.png,0
360011231.png,1
370313122.png,1
360017112.png,0
350024033.png,0
360028101.png,1
360029152.png,1
360010031.png,0
340005301.png,0
370312101.png,1
371302383.png,0
320010141.png,1
330002082.png,1
371102062.png,1
370501311.png,0
320005281.png,0
340003172.png,0
370609202.png,1
370612211.png,0
350002103.png,0
370403053.png,0
320011082.png,0
310001251.png,0
350007272.png,1
371302182.png,0
350014121.png,0
370502201.png,1
310009163.png,1
350023102.png,0
340027383.png,1
370603041.png,0
320002031.png,0
330008192.png,1
370515092.png,0
370101022.png,0
370308062.png,1
360013112.png,0
370902021.png,0
360015022.png,1
360011021.png,1
310009193.png,1
350002041.png,0
330010012.png,1
371302232.png,0
310003381.png,0
330002022.png,0
320010171.png,1
370519182.png,1
330009062.png,1
320009242.png,0
320020021.png,1
370317122.png,1
371001061.png,0
360027052.png,0
350017052.png,1
370402062.png,0
360011322.png,1
360008672.png,1
320011351.png,0
371101231.png,1
310002261.png,1
320024011.png,0
370401322.png,0
350032162.png,1
370903111.png,1
340023062.png,0
350010083.png,0
371009032.png,0
370803081.png,0
340004231.png,0
371402342.png,0
310004071.png,0
360004181.png,0
370701291.png,1
330008402.png,0
370718063.png,0
350026052.png,0
371401255.png,0
370712021.png,1
370705252.png,0
370313063.png,0
370409112.png,0
371101281.png,1
360016051.png,0
320003353.png,0
371102141.png,0
350013092.png,0
370412111.png,0
370723091.png,1
370702171.png,0
330008311.png,1
360001171.png,0
350033292.png,0
350007142.png,0
370612082.png,0
340006102.png,0
3200021091.png,1
370613141.png,1
310005041.png,0
320011321.png,0
350028182.png,0
330003102.png,1
360014212.png,1
340025071.png,0
360020141.png,1
370317181.png,1
310008042.png,1
370912063.png,1
370613221.png,1
370310202.png,0
330010431.png,0
310003272.png,0
370402052.png,0
310003422.png,1
370105142.png,0
371402251.png,0
360017081.png,1
320013191.png,0
340004142.png,1
340020061.png,0
350018171.png,0
370809061.png,1
371206201.png,1
370701621.png,0
320002591.png,0
370301701.png,0
320018081.png,1
370805182.png,0
320006351.png,0
370707022.png,0
370310021.png,0
370517142.png,0
370502033.png,0
340025032.png,0
330009302.png,0
340010142.png,1
320001121.png,1
370810152.png,0
360013211.png,0
370320071.png,1
310010192.png,1
330002122.png,0
340009142.png,0
371006062.png,0
370901401.png,0
370411032.png,0
350031291.png,1
340008333.png,0
370702081.png,1
370911062.png,1
310012082.png,1
370201081.png,1
370407122.png,0
320007331.png,0
330003161.png,1
370601062.png,1
350037072.png,0
360009244.png,0
370504042.png,0
350032042.png,0
370406181.png,1
350031161.png,0
370713112.png,1
350007081.png,0
371015042.png,1
371302432.png,0
370808072.png,0
340010173.png,1
360011282.png,1
360006082.png,0
370901241.png,1
330002761.png,1
350037252.png,0
370804161.png,1
320011501.png,1
370101102.png,0
370513011.png,0
370601031.png,0
320001071.png,1
360025093.png,0
350031352.png,1
370807081.png,1
370516062.png,0
350005081.png,0
310003142.png,1
360003072.png,0
320002901.png,1
330002581.png,0
360002042.png,1
330004071.png,0
350035322.png,0
371301321.png,1
370303181.png,0
370404152.png,0
310012201.png,0
370519141.png,0
350009112.png,0
370110022.png,1
360012322.png,0
370504152.png,1
320009191.png,1
310011431.png,1
370510101.png,0
370201141.png,1
370705081.png,1
370310252.png,0
360011262.png,1
340022111.png,0
370503252.png,0
370323011.png,1
320006301.png,0
350015161.png,0
350027152.png,1
380201082.png,0
330008391.png,1
340024142.png,1
370506011.png,0
310010225.png,0
330002401.png,1
370404232.png,1
340011132.png,1
370404242.png,0
370401231.png,1
330010121.png,0
330001291.png,1
371105012.png,1
360015141.png,1
360001082.png,1
370807142.png,0
370402193.png,0
370312042.png,1
340005021.png,1
360006121.png,0
370702162.png,1
370513111.png,0
371201202.png,1
320001552.png,0
370710073.png,0
371302411.png,0
370520171.png,1
350032452.png,0
320002021.png,1
370317162.png,1
370811032.png,0
370701552.png,1
350004081.png,0
350002082.png,1
370801353.png,1
310002292.png,1
370705253.png,1
350029102.png,1
320003881.png,1
330002601.png,0
320001653.png,1
370701082.png,0
370401101.png,1
370702061.png,0
370807122.png,0
370714032.png,0
370402273.png,0
370721042.png,0
320010221.png,1
320003131.png,0
371008052.png,1
360012042.png,1
330004401.png,1
310003341.png,1
370808241.png,1
371005051.png,0
330011122.png,1
340018151.png,1
360028032.png,0
320001531.png,0
370612153.png,0
360035042.png,0
360019071.png,0
370802172.png,0
371301361.png,1
360012222.png,0
310008242.png,1
320005722.png,1
370615181.png,1
330008241.png,0
370801371.png,0
320005111.png,0
310012423.png,0
350007172.png,1
370801343.png,0
320015132.png,1
370704141.png,0
330011021.png,1
370810093.png,0
371005072.png,0
370504252.png,0
320006211.png,0
340002092.png,1
370909061.png,0
320005071.png,0
360009245.png,1
310004161.png,1
371004111.png,1
371202192.png,0
340009082.png,1
360008621.png,1
370401332.png,1
370313042.png,0
370605263.png,1
370605042.png,0
370301251.png,1
370201091.png,0
370614182.png,1
360004303.png,0
370604153.png,0
370805121.png,1
370302203.png,0
370218022.png,0
370101212.png,0
370218062.png,0
370310053.png,0
350019111.png,0
370904012.png,1
350028112.png,0
370320242.png,0
350005123.png,0
310009201.png,0
310011272.png,0
340019052.png,0
320014081.png,0
310001291.png,1
360005613.png,0
371102123.png,0
370303202.png,0
340005273.png,1
360003231.png,0
370316033.png,0
310012032.png,1
350037312.png,1
370715051.png,0
370512133.png,0
360012383.png,0
330002021.png,1
370507021.png,1
340024033.png,1
350034281.png,0
370305021.png,1
370606021.png,1
370913013.png,0
371201163.png,0
350014051.png,0
340015081.png,0
370701352.png,1
360005231.png,1
340005111.png,1
370319011.png,0
330002782.png,0
371007071.png,0
350005012.png,1
370411151.png,1
310004331.png,0
350034121.png,0
340025041.png,0
370804162.png,0
371003011.png,0
370805122.png,0
320025104.png,0
371301481.png,1
320003282.png,1
371301461.png,1
370701492.png,1
371001082.png,1
370403103.png,0
370810052.png,0
310007161.png,0
350002142.png,0
340005311.png,0
310005071.png,0
310012241.png,0
330001461.png,1
370905011.png,0
370502031.png,1
330002772.png,1
371303092.png,1
370408072.png,0
370502211.png,1
320005635.png,0
370511012.png,0
350013021.png,1
370809072.png,1
310004061.png,1
370520041.png,0
370305081.png,0
350033242.png,1
371105051.png,1
310006112.png,1
310003282.png,0
330008421.png,1
360005611.png,0
370105171.png,0
330001361.png,0
360001053.png,0
371008062.png,1
371101233.png,0
310010261.png,1
370617011.png,1
360012154.png,0
370306142.png,0
320005152.png,0
370503192.png,0
370411022.png,0
370701403.png,0
370314212.png,1
371104113.png,0
350003073.png,0
370314022.png,0
370603101.png,1
340010212.png,0
350020114.png,0
370808051.png,0
310002243.png,1
320001932.png,1
370401221.png,1
350015191.png,0
370711084.png,0
350018042.png,0
320004532.png,1
320005272.png,1
370411062.png,0
320003562.png,1
320007122.png,0
360003391.png,1
370602252.png,1
370406111.png,1
380104053.png,1
340004041.png,0
370402211.png,1
370701782.png,1
360030133.png,0
350012081.png,1
340005072.png,0
360004171.png,1
320002552.png,0
310004144.png,0
360012271.png,0
340023081.png,0
350032111.png,0
360006291.png,0
371401221.png,1
330003052.png,0
360019022.png,0
360019072.png,1
370501131.png,0
370728041.png,0
360005351.png,1
370801051.png,1
330001712.png,0
380101052.png,0
360006152.png,0
350034333.png,0
360005812.png,1
320006321.png,1
370413152.png,1
370725031.png,0
360005511.png,1
340025052.png,0
370711191.png,0
340008201.png,1
340024011.png,0
360038022.png,1
310001312.png,1
340026031.png,0
370711142.png,0
330008011.png,1
370105193.png,1
370601111.png,0
370520092.png,0
370714021.png,0
370704092.png,1
370803202.png,0
310011201.png,1
370701591.png,1
340004055.png,1
310008172.png,1
340022011.png,1
370707042.png,0
370321171.png,1
371201212.png,0
350029172.png,1
371301122.png,1
371201263.png,1
350030071.png,1
320011372.png,1
350013113.png,0
370401152.png,0
350013012.png,0
370603072.png,1
370605171.png,1
370313094.png,1
310012051.png,0
340005122.png,0
371302183.png,1
310003152.png,1
370704023.png,0
370320112.png,1
3200011222.png,0
310008092.png,1
350014042.png,1
370408011.png,0
340002051.png,1
320010272.png,0
340009103.png,0
370519071.png,0
320006323.png,0
310011122.png,1
371201152.png,0
370801212.png,0
320002301.png,0
330012032.png,1
330001071.png,1
350024021.png,1
370404052.png,0
340006083.png,1
330010294.png,1
370612131.png,0
350018132.png,1
370309031.png,0
370321092.png,1
360033042.png,1
370603181.png,1
360014121.png,0
320002712.png,0
350033082.png,0
370321172.png,0
370404102.png,1
320014171.png,0
320002142.png,0
360031071.png,1
370704112.png,1
310002351.png,0
370324051.png,1
370308012.png,0
360011181.png,0
360002021.png,0
371301442.png,0
370806112.png,1
370732081.png,1
320013221.png,1
371301121.png,0
370606062.png,0
370801213.png,0
340026012.png,1
360025102.png,0
370502122.png,1
360017083.png,0
360008211.png,1
370727012.png,0
310009083.png,1
371303052.png,0
350007115.png,0
340022021.png,0
370301542.png,0
310010201.png,0
371401251.png,0
371302451.png,0
360037032.png,0
360034031.png,0
360006141.png,0
371402053.png,0
350033081.png,1
360017012.png,0
360005694.png,0
330002252.png,0
330002673.png,1
370302242.png,1
360009402.png,0
370718012.png,0
360032081.png,1
310003502.png,1
350034062.png,1
371401283.png,1
371202194.png,0
320013422.png,0
360011171.png,0
370406012.png,1
370701141.png,1
370801384.png,0
340005361.png,0
340009131.png,0
370310023.png,0
370513042.png,0
340002172.png,1
340028221.png,1
370731032.png,1
330011111.png,1
320027121.png,1
370411162.png,1
370519051.png,1
370519102.png,0
350006131.png,1
310008061.png,0
360008602.png,0
370716032.png,1
320005542.png,1
370410062.png,1
360019183.png,1
370602191.png,0
370712121.png,1
320021091.png,1
370717151.png,0
310003131.png,0
370716021.png,1
370723021.png,0
370325041.png,0
320005331.png,1
320007241.png,1
320014271.png,0
320019062.png,0
370201272.png,0
3200011182.png,1
371205041.png,1
310003013.png,0
310011461.png,1
370103051.png,0
320003351.png,1
370506193.png,1
310012243.png,1
370504251.png,1
370809111.png,0
371302211.png,1
350027052.png,1
370510091.png,1
340023101.png,1
371401181.png,0
360014251.png,0
370605211.png,1
370103152.png,0
370101302.png,0
310004222.png,0
320013073.png,1
370604061.png,1
330011041.png,0
350037082.png,1
360011312.png,0
370804152.png,1
350034171.png,1
360022022.png,1
370706022.png,1
360035152.png,1
310002301.png,0
340005302.png,0
380102062.png,1
370511073.png,0
320007124.png,0
370710092.png,1
350034412.png,0
320002172.png,1
360024112.png,0
320001522.png,0
340023063.png,1
370901252.png,0
350034072.png,0
370325102.png,0
370804042.png,0
320001293.png,0
360005541.png,1
371001103.png,0
370306072.png,0
370810111.png,1
370610092.png,0
370201062.png,1
350025031.png,0
